# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  12600    7.85e+00  7.84e+00    1.42e-02  1.87e-02    2.48e-01  2.48e-01    1.0e-03
  12700    8.68e+00  9.71e+00    6.25e-02  8.04e-02    2.74e-01  3.07e-01    1.0e-03
  12800    4.84e+00  4.70e+00    2.81e-02  2.62e-02    1.53e-01  1.49e-01    1.0e-03
  12900    5.04e+00  4.89e+00    1.52e-02  1.22e-02    1.59e-01  1.55e-01    1.0e-03
  13000    7.44e+00  8.19e+00    3.02e-02  2.87e-02    2.35e-01  2.59e-01    1.0e-03
  13100    7.90e+00  7.98e+00    5.81e-02  5.98e-02    2.50e-01  2.52e-01    1.0e-03
  13200    7.45e+00  7.87e+00    4.19e-02  3.75e-02    2.36e-01  2.49e-01    1.0e-03
  13300    6.23e+00  7.73e+00    2.52e-01  2.72e-01    1.97e-01  2.45e-01    1.0e-03
  13400    8.49e+00  8.86e+00    5.68e-02  3.50e-02    2.69e-01  2.80e-01    1.0e-03
  13500    1.08e+01  1.09e+01    7.51e-03  7.48e-03    3.41e-01  3.44e-01    1.0e-03
  13600    7.87e+00  8.95e+00    3.05e-02  4.29e-02    2.49e-01  2.83e-01    1.0e-03
  13700    4.62e+00  4.53e+00    2.12e-02  2.11e-02    1.46e-01  1.43e-01    1.0e-03
  13800    8.99e+00  8.56e+00    2.61e-02  8.17e-03    2.84e-01  2.71e-01    1.0e-03
  13900    4.60e+00  4.40e+00    4.88e-02  4.77e-02    1.45e-01  1.39e-01    1.0e-03
  14000    7.57e+00  7.24e+00    2.30e-02  1.74e-02    2.39e-01  2.29e-01    1.0e-03
  14100    4.73e+00  5.42e+00    6.36e-02  1.36e-01    1.50e-01  1.71e-01    1.0e-03
  14200    7.57e+00  6.48e+00    1.75e-02  3.98e-03    2.39e-01  2.05e-01    1.0e-03
  14300    6.57e+00  6.31e+00    1.14e-02  1.04e-02    2.08e-01  1.99e-01    1.0e-03
  14400    8.14e+00  7.04e+00    3.98e-02  1.97e-02    2.57e-01  2.23e-01    1.0e-03
  14500    7.64e+00  7.58e+00    2.36e-02  2.71e-02    2.41e-01  2.40e-01    1.0e-03
  14600    1.15e+01  9.91e+00    8.35e-03  1.23e-03    3.64e-01  3.14e-01    1.0e-03
  14700    4.52e+00  4.41e+00    1.65e-01  1.65e-01    1.43e-01  1.39e-01    1.0e-03
  14800    7.25e+00  7.59e+00    3.94e-02  3.39e-02    2.29e-01  2.40e-01    1.0e-03
  14900    9.11e+00  9.86e+00    2.05e-02  1.92e-02    2.88e-01  3.12e-01    1.0e-03
  15000    9.60e+00  1.01e+01    4.84e-02  4.89e-02    3.04e-01  3.19e-01    1.0e-03
  15100    1.01e+01  9.55e+00    1.80e-02  1.97e-02    3.21e-01  3.02e-01    1.0e-03
  15200    8.30e+00  7.76e+00    2.75e-02  3.55e-02    2.63e-01  2.45e-01    1.0e-03
  15300    7.21e+00  7.96e+00    9.24e-02  9.39e-02    2.28e-01  2.52e-01    1.0e-03
  15400    7.83e+00  9.16e+00    3.47e-02  5.41e-02    2.47e-01  2.90e-01    1.0e-03
  15500    8.96e+00  8.81e+00    1.11e-02  2.07e-02    2.83e-01  2.79e-01    1.0e-03
  15600    7.81e+00  7.84e+00    2.18e-01  2.21e-01    2.47e-01  2.48e-01    1.0e-03
  15700    7.05e+00  7.48e+00    3.78e-02  4.14e-02    2.23e-01  2.36e-01    1.0e-03
  15800    8.08e+00  7.28e+00    1.80e-02  1.88e-02    2.56e-01  2.30e-01    1.0e-03
